公司代號,公司名稱,"流動資產","非流動資產","資產總額","流動負債","非流動負債","負債總額","股本","資本公積","保留盈餘","其他權益","庫藏股票","歸屬於母公司業主之權益合計","共同控制下前手權益","合併前非屬共同控制股權","非控制權益","權益總額","預收股款（權益項下）之約當發行股數（單位：股）","母公司暨子公司所持有之母公司庫藏股股數（單位：股）",每股參考淨值,
"1101","台泥",77246355.00,195588878.00,272835233.00,65913019.00,61556516.00,127469535.00,36921759.00,12215684.00,45521147.00,13214330.00,--,107872920.00,--,--,37492778.00,145365698.00,0.00,0.00,29.22,
"1102","亞泥",57789464.00,147867373.00,205656837.00,54557931.00,46846907.00,101404838.00,32309181.00,1034446.00,47173926.00,6469871.00,--,86987424.00,--,--,17264575.00,104251999.00,0.00,0.00,26.92,
"1103","嘉泥",12221392.00,16755562.00,28976954.00,2958234.00,9622730.00,12580964.00,7768285.00,444825.00,8044970.00,-997405.00,-1153409.00,14107266.00,--,--,2288724.00,16395990.00,0.00,132150185.00,21.88,
"1104","環球水泥",2231669.00,14155850.00,16387519.00,1127396.00,1528405.00,2655801.00,6038919.00,21763.00,6765931.00,723700.00,--,13550313.00,--,--,181405.00,13731718.00,0.00,0.00,22.44,
"1108","幸福水泥",5314198.00,3260915.00,8575113.00,2245153.00,2046786.00,4291939.00,4047380.00,5.00,199978.00,55075.00,0.00,4302438.00,--,--,-19264.00,4283174.00,0.00,0.00,10.63,
"1109","信大水泥",2923669.00,6604285.00,9527954.00,1131021.00,1425412.00,2556433.00,4210008.00,22299.00,1753470.00,75647.00,0.00,6061424.00,--,--,910097.00,6971521.00,0.00,0.00,14.40,
"1110","東泥",1178376.00,8172897.00,9351273.00,276827.00,483459.00,760286.00,5720008.00,183902.00,1927974.00,736976.00,-12185.00,8556675.00,--,--,34312.00,8590987.00,0.00,2112865.00,15.01,
"1201","味全公司",22272397.00,14334162.00,36606559.00,17340755.00,8137705.00,25478460.00,5060629.00,688.00,2961198.00,10551.00,--,8033066.00,--,--,3095033.00,11128099.00,0.00,0.00,15.87,
"1203","味王公司",2993160.00,4920499.00,7913659.00,1448183.00,1647828.00,3096011.00,2400000.00,36153.00,1520376.00,49635.00,-38464.00,3967700.00,--,--,849948.00,4817648.00,0.00,2293865.00,16.69,
"1210","大成長城",20141455.00,15103513.00,35244968.00,13900605.00,3842423.00,17743028.00,5664572.00,2326468.00,3210329.00,902661.00,-306199.00,11797831.00,--,--,5704109.00,17501940.00,0.00,40688225.00,22.44,
