"106年09月15日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"1101  ","台泥            ","4.29","105","17.51","1.18","106/2",
"1102  ","亞泥            ","3.27","105","20.99","0.77","106/2",
"1103  ","嘉泥            ","1.59","105","44.82","0.48","106/2",
"1104  ","環泥            ","6.32","105","9.90","0.95","106/2",
"1108  ","幸福            ","6.84","105","23.70","0.78","106/2",
"1109  ","信大            ","0.83","105","16.90","0.83","106/2",
"1110  ","東泥            ","0.67","105","-","1.00","106/2",
"1201  ","味全            ","0.00","105","-","2.09","106/2",
"1203  ","味王            ","4.20","105","12.93","1.31","106/2",
"1210  ","大成            ","4.68","105","11.45","1.51","106/2",
"1213  ","大飲            ","0.00","105","307.00","1.25","106/2",
"1215  ","卜蜂            ","4.51","105","12.34","2.96","106/2",
"1216  ","統一            ","3.20","105","25.53","4.17","106/2",
"1217  ","愛之味          ","0.00","105","29.22","0.74","106/2",
"1218  ","泰山            ","0.00","105","-","1.75","106/2",
"1219  ","福壽            ","2.27","105","55.16","1.49","106/2",
"1220  ","台榮            ","6.16","105","17.02","0.86","106/2",
"1225  ","福懋油          ","1.98","105","39.38","4.46","106/2",
"1227  ","佳格            ","2.67","105","30.82","4.88","106/2",
"1229  ","聯華            ","6.95","105","11.98","1.21","106/2",
"1231  ","聯華食          ","6.49","105","12.60","1.81","106/2",
"1232  ","大統益          ","5.56","105","17.54","4.32","106/2",
"1233  ","天仁            ","4.57","105","19.55","2.36","106/2",
"1234  ","黑松            ","6.41","105","24.96","0.73","106/2",
"1235  ","興泰            ","0.00","105","10.34","0.59","106/2",
"1236  ","宏亞            ","1.76","105","43.59","1.07","106/2",
"1256  ","鮮活果汁-KY     ","2.80","105","16.08","4.44","106/2",
"1262  ","綠悅-KY         ","1.49","105","6.78","1.05","106/2",
"1301  ","台塑            ","4.82","105","14.11","1.99","106/2",
"1303  ","南亞            ","5.94","105","10.91","1.88","106/2",
"1304  ","台聚            ","4.55","105","16.04","0.90","106/2",
"1305  ","華夏            ","5.92","105","10.80","2.25","106/2",
"1307  ","三芳            ","6.15","105","11.92","1.74","106/2",
"1308  ","亞聚            ","4.64","105","14.06","1.03","106/2",
"1309  ","台達化          ","0.00","105","43.46","1.10","106/2",
"1310  ","台苯            ","10.43","105","8.47","1.65","106/2",
"1312  ","國喬            ","3.76","105","9.85","1.35","106/2",
"1313  ","聯成            ","5.06","105","14.61","1.02","106/2",
"1314  ","中石化          ","0.00","105","8.75","0.61","106/2",
"1315  ","達新            ","4.34","105","18.11","0.67","106/2",
"1316  ","上曜            ","0.00","105","-","2.42","106/2",
"1319  ","東陽            ","3.55","105","14.85","1.88","106/2",
"1321  ","大洋            ","0.00","105","-","1.38","106/2",
"1323  ","永裕            ","5.36","105","11.83","1.83","106/2",
"1324  ","地球            ","3.14","105","10.90","0.93","106/2",
"1325  ","恆大            ","4.07","105","28.07","1.01","106/2",
